keyword,importance
alle,0.06289125631880417
onze,0.03908140101850931
contact,0.02168068598080271
bekijk,0.01930760753110497
dragen,0.01570461840156824
aanbod,0.013799327241611902
actief,0.008843072518191143
rij,0.008792815549794504
elk,0.007436536683502399
tip,0.007179374936379474
geld,0.0071179823432813314
huidige,0.006997941249749785
bewust,0.006971494921589406
word,0.006837212852307271
klant,0.006826535666603843
fri,0.00682173962497539
goed,0.006767918638472894
moderne,0.006637431364774446
fijne,0.0064065156321210116
namelijk,0.006352591398029522
portemonnee,0.006346777563916368
ronde,0.005560096136502976
link,0.0053477206239136476
simpel,0.004993869284352746
milieuvriendelijke,0.004989356854985739
