domain,simple_match_score,advanced_match_score,sentiment_score,final_score
https://nova-house.nl,0,0.0,0.0,0.0
https://www.hermanjansen.com,0,0.0,0.0,0.0
https://72andsunny.com,0,0.0,0.0,0.0
https://haveverwarming.nl,0,0.0,0.0,0.0
https://www.scheldezoom.nl,0,0.0,0.0,0.0
https://impegno.nl,0,0.0,0.0,0.0
https://enexisgroep.nl,0,0.0,0.0,0.0
https://innovaenergie.nl,0,0.0,0.0,0.0
https://www.abcfinance.nl,0,0.0,0.0,0.0
https://www.huttenmetaal.nl,0,0.0,0.0,0.0
https://www.zorginoktober.nl,0,0.0,0.0,0.0
https://www.nahzorg.nl,0,0.0,0.0,0.0
https://hespace.com,0,0.0,0.0,0.0
https://woonfriesland.nl,0,0.0,0.0,0.0
https://kwadrantgroep.nl,0,0.0,0.0,0.0
https://globemilk.com,0,0.0,0.0,0.0
https://smulderstextiel.nl,0,0.0,0.0,0.0
https://bmv.nl,0,0.0,0.0,0.0
https://www.hsk.nl,0,0.0,0.0,0.0
https://patrimonium-groningen.nl,0,0.0,0.0,0.0
https://areawonen.nl,0,0.0,0.0,0.0
https://herculan.com,0,0.0,0.0,0.0
https://wilgaerden.nl,0,0.0,0.0,0.0
https://falkbouwsystemen.nl,0,0.0,0.0,0.0
https://picomel.nl,0,0.0,0.0,0.0
https://intrum.nl,0,0.0,0.0,0.0
https://hotelgilzetilburg.nl,0,0.0,0.0,0.0
https://ultrainternational.com,1,1.0,0.9322,1.1864400000000002
https://vanderende.nl,0,0.0,0.0,0.0
https://tmh.nl,0,0.0,0.0,0.0
https://synvest.nl,0,0.0,0.0,0.0
https://www.medischcentrumwaalre.com,0,0.0,0.0,0.0
https://kabouterhuis.nl,0,0.0,0.0,0.0
https://guts-installatietechniek.com,0,0.0,0.0,0.0
https://www.oerlemansplastics.nl,0,0.0,0.0,0.0
https://www.swbv.nl,0,0.0,0.0,0.0
https://europarcs.com,1,1.5,0.9982,1.39964
https://www.bachfestivaldordrecht.nl,0,0.0,0.0,0.0
https://thermae.nl,0,0.0,0.0,0.0
https://apanta-ggz.nl,0,0.0,0.0,0.0
https://rivieramaison.com,0,0.0,0.0,0.0
https://www.ecotone.bio,5,5.5,0.606,4.5212
https://anthura.nl,0,0.0,0.0,0.0
https://beterwonen.nl,0,0.0,0.0,0.0
https://www.bom.nl,0,0.0,0.0,0.0
https://afsuitzendbureau.nl,0,0.0,0.0,0.0
https://dfm.nl,0,0.0,0.0,0.0
https://www.wp-haton.com,0,0.0,0.0,0.0
https://www.hoogzorg.nl,0,0.0,0.0,0.0
https://www.prinsstaal.nl,0,0.0,0.0,0.0
https://wvhwonen.nl,0,0.0,0.0,0.0
https://barten.nl,0,0.0,0.0,0.0
https://marin.nl,0,0.0,0.0,0.0
https://atik.nl,0,0.0,0.0,0.0
https://www.heemgaard.nl,0,0.0,0.0,0.0
https://www.florespraktijk.nl,0,0.0,0.0,0.0
https://solidus.com,3,3.0,0.8064,2.76128
https://www.fairlight.nl,0,0.0,0.0,0.0
https://creativeclicks.com,0,0.0,0.0,0.0
https://www.gimeg.nl,0,0.0,0.0,0.0
https://www.birdhuis.nl,0,0.0,0.0,0.0
https://logisteed.com,0,0.0,0.0,0.0
https://vu.nl,0,0.0,0.0,0.0
https://nwbbank.com,0,0.0,0.0,0.0
https://www.continu.nl,0,0.0,0.0,0.0
https://kaak.com,0,0.0,0.0,0.0
https://www.vandebrug.nl,0,0.0,0.0,0.0
https://lentink.nl,0,0.0,0.0,0.0
https://ikont.eu,0,0.0,0.0,0.0
https://vanderwal.company,0,0.0,0.0,0.0
https://lesan.nl,0,0.0,0.0,0.0
https://4some.nl,0,0.0,0.0,0.0
https://sesint.nl,0,0.0,0.0,0.0
https://amaris.nl,0,0.0,0.0,0.0
https://boba.nl,0,0.0,0.0,0.0
https://makita.nl,0,0.0,0.0,0.0
https://multivac.com,1,1.0,0.4981,1.09962
https://rijswaard.nl,0,0.0,0.0,0.0
https://dewever.nl,0,0.0,0.0,0.0
https://pdpede.nl,0,0.0,0.0,0.0
https://ggzbreburg.nl,0,0.0,0.0,0.0
https://www.g4s.com,0,0.0,0.0,0.0
https://familysupporters.nl,0,0.0,0.0,0.0
https://vandenbiggelaar.nl,0,0.0,0.0,0.0
https://vandebron.nl,0,0.0,0.0,0.0
https://www.oosterik.nl,0,0.0,0.0,0.0
https://fresenius-kabi.com,0,0.0,0.0,0.0
https://axidus.com,0,0.0,0.0,0.0
https://giant-bicycles.com,0,0.0,0.0,0.0
https://www.zorgbegrip.nl,0,0.0,0.0,0.0
https://groeienmetpom.nl,0,0.0,0.0,0.0
